sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
新營,臺南市,19,,良好,0.4,0.16,35.3,20.5,15,4,4.5,5.7,1.2,1.7,16,"2023/07/22 11:00:00",0.1,3.3,13,0,120.31725,23.305633,43
善化,臺南市,19,,良好,1.1,0.1,36,20.9,7,3,2.6,3.3,0.7,2.1,341,"2023/07/22 11:00:00",0.1,2.1,6,1,120.29740529,23.11337642,44
安南,臺南市,19,,良好,0.8,0.19,36.2,20.6,9,3,4.7,6.1,1.3,1.4,33,"2023/07/22 11:00:00",0.1,2.1,8,0,120.2175,23.048197,45
臺南,臺南市,22,,良好,0.2,0.25,46.5,24.1,14,7,5.2,6,0.7,0.7,286,"2023/07/22 11:00:00",0.2,4,8,0,120.22085,22.99123,46
美濃,高雄市,21,,良好,1.3,0.16,38.5,22.3,23,6,2.1,3.7,1.6,1.3,269,"2023/07/22 11:00:00",0.1,6.5,18,1,120.530542,22.883583,47
橋頭,高雄市,22,,良好,1.4,0.14,40.7,24.7,29,8,4.5,5.9,1.4,3,234,"2023/07/22 11:00:00",0.1,5.7,17,1,120.305689,22.757506,48
仁武,高雄市,22,,良好,1.2,0.18,44.7,21.5,18,6,6.2,7.6,1.4,2.2,294,"2023/07/22 11:00:00",0.2,6.7,13,0,120.332631,22.689056,49
鳳山,高雄市,21,,良好,2.1,0.32,45,23.9,16,6,7.9,9.8,1.9,0.9,117,"2023/07/22 11:00:00",0.3,6.2,12,1,120.357422,22.628126,50
大寮,高雄市,,,,,,,,,,,,,,,"2023/07/22 11:00:00",,,,,120.425311,22.56413611,51
林園,高雄市,21,,良好,1.1,0.17,46.7,22.9,26,9,2.7,3.5,0.8,3,216,"2023/07/22 11:00:00",0.1,6.5,19,0,120.41175,22.4795,52
楠梓,高雄市,24,,良好,1.2,0.17,45.2,26.2,17,5,5.2,6.4,1.2,1.8,283,"2023/07/22 11:00:00",0.1,5.7,12,1,120.328289,22.733667,53
左營,高雄市,21,,良好,1.8,0.14,32.3,21.6,11,6,3.1,3.8,0.7,2.8,279,"2023/07/22 11:00:00",0.1,6.5,12,1,120.292917,22.674861,54
前金,高雄市,20,,良好,1,0.17,35.3,22.8,14,5,4,5.6,1.6,2.3,338,"2023/07/22 11:00:00",0.1,5.5,15,1,120.28676111,22.63390278,56
前鎮,高雄市,15,,良好,1.5,0.16,26.5,16.7,12,3,6.1,9.4,3.2,1.3,351,"2023/07/22 11:00:00",0.2,4.6,13,2,120.30833356,22.6044507,57
小港,高雄市,21,,良好,1.2,0.12,25.4,18.6,21,9,10.8,15.6,4.8,3.6,261,"2023/07/22 11:00:00",0.1,6.5,17,1,120.337736,22.565833,58
屏東,屏東縣,28,,良好,0.9,0.16,46.8,26.1,18,11,2.7,3.6,0.9,1.8,329,"2023/07/22 11:00:00",0.1,8.7,15,1,120.488033,22.673081,59
潮州,屏東縣,30,,良好,0.9,0.14,46.1,17.9,16,8,2,2.2,0.2,2.4,256,"2023/07/22 11:00:00",0.1,9.2,19,0,120.561175,22.523108,60
恆春,屏東縣,8,,良好,0,0.08,14.4,9.6,9,0,0.1,0.5,0.3,4.8,75,"2023/07/22 11:00:00",0,1,8,0,120.788928,21.958069,61
臺東,臺東縣,10,,良好,0.5,0.11,14.4,8.6,6,0,1.9,3.4,1.4,1.7,134,"2023/07/22 11:00:00",0.1,2.6,10,0,121.15045,22.755358,62
花蓮,花蓮縣,14,,良好,0.8,0.1,13.5,8.6,10,5,0.8,2.3,1.4,2.6,144,"2023/07/22 11:00:00",0.1,3.2,14,0,121.599769,23.971306,63
陽明,臺北市,17,,良好,1,0.2,27.6,18.6,17,8,5.7,7.1,1.3,,,"2023/07/22 11:00:00",0.1,5.3,9,1,121.529583,25.182722,64
宜蘭,宜蘭縣,27,,良好,1.6,0.2,29.9,14.5,12,9,3.8,5.6,1.7,2.4,65,"2023/07/22 11:00:00",0.1,8.4,15,1,121.746394,24.747917,65
冬山,宜蘭縣,15,,良好,2,0.28,24.6,12,8,2,9.4,14.4,5,1.7,29,"2023/07/22 11:00:00",0.2,2.7,11,0,121.792928,24.632203,66
三重,新北市,48,,良好,0.6,0.75,19.4,8.6,,5,29.7,55.2,25.4,-,-,"2023/07/22 11:00:00",0.6,6,,0,121.493806,25.072611,67
中壢,桃園市,28,,良好,1.7,0.62,15.2,7.7,14,7,17.6,43.5,25.9,1.1,42,"2023/07/22 11:00:00",0.7,7.3,17,1,121.221667,24.953278,68
竹山,南投縣,13,,良好,0.9,0.09,37.5,14.9,,4,1.7,2.4,0.6,1.5,311,"2023/07/22 11:00:00",0,1.9,,0,120.677306,23.756389,69
永和,新北市,26,,良好,1.5,0.62,37.6,10.9,,10,15.1,19.1,4,1.6,95,"2023/07/22 11:00:00",0.5,8.1,,0,121.516306,25.017,70
復興,高雄市,15,,良好,1.1,0.27,24.2,16.4,3,5,7.5,11,3.4,0.6,202,"2023/07/22 11:00:00",0.2,3.3,9,1,120.312017,22.608711,71
埔里,南投縣,17,,良好,0.8,0.11,29.9,18.3,,0,1.1,2.6,1.4,2.6,288,"2023/07/22 11:00:00",0.1,0.3,,1,120.967903,23.968842,72
馬祖,連江縣,21,,良好,1.3,0.18,26.2,13.6,16,10,5.5,7.9,2.3,4.5,181,"2023/07/22 11:00:00",0.1,6.6,13,0,119.93149378,26.15188416,75
金門,金門縣,15,,良好,1.2,0.08,19.3,12.1,6,3,1.8,3.2,1.4,3.6,201,"2023/07/22 11:00:00",0,4.5,7,1,118.312256,24.432133,77
馬公,澎湖縣,10,,良好,0.5,0.09,16,8.7,10,4,5.5,13.1,7.5,2.5,245,"2023/07/22 11:00:00",0,3.1,9,0,119.566158,23.569031,78
關山,臺東縣,11,,良好,0.9,0.08,15.1,7.5,7,0,1,1.9,0.9,2.2,220,"2023/07/22 11:00:00",0,2.3,11,0,121.161933,23.045083,80
麥寮,雲林縣,19,,良好,1.3,0.12,31.1,21.1,12,5,1.4,1.7,0.3,2.4,270,"2023/07/22 11:00:00",0.1,3.2,11,,120.251825,23.753506,83
富貴角,新北市,20,,良好,0.9,0.11,43.6,22.2,16,8,2.9,3.5,0.5,2.7,273,"2023/07/22 11:00:00",0,4.2,11,0,121.53656894,25.29681695,84
大城,彰化縣,17,,良好,1.4,0.07,25.1,18.9,11,5,0.8,2.5,1.7,2.1,283,"2023/07/22 11:00:00",0,4.7,11,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,22,,良好,1.8,0.27,,18.7,,6,4.3,6.9,2.5,1,330,"2023/07/22 11:00:00",0.2,6.7,,1,120.56373,23.96117,201
高雄(湖內),高雄市,,,,,,,,,,,,,,,"2023/07/22 11:00:00",,,,,120.24535,22.87985556,202
臺南(麻豆),臺南市,15,,良好,0.2,0.13,31.3,16.7,12,1,2.9,4.3,1.3,1.4,337,"2023/07/22 11:00:00",0.1,1.9,10,0,120.24583056,23.17904722,203
屏東(琉球),屏東縣,,,,,,,,,,,,,,,"2023/07/22 11:00:00",,,,,120.37722,22.35222,204
桃園(三民),桃園市,38,,良好,1.2,0.66,18.1,14.1,30,5,23.1,47.4,24.2,0.8,267,"2023/07/22 11:00:00",0.3,6.2,18,1,121.31788148,25.00132736,310
新北(樹林),新北市,,,,,,,,,,,,,,,"2023/07/22 11:00:00",,,,,121.38352778,24.94902778,311
屏東(枋山),屏東縣,12,,良好,0.3,0.07,21.7,13.3,9,4,0.9,1.1,0.1,1.9,307,"2023/07/22 11:00:00",0,1.9,8,0,120.651472,22.260899,313
